 table_schema |          table_name           |            column_name            |          data_type          
--------------+-------------------------------+-----------------------------------+-----------------------------
 camara       | blocos                        | id                                | integer
 camara       | blocos                        | nome                              | text
 camara       | blocos                        | legislatura_id                    | integer
 camara       | blocos                        | uri                               | text
 camara       | blocos_partidos               | id                                | integer
 camara       | blocos_partidos               | bloco_id                          | integer
 camara       | blocos_partidos               | partido_id                        | integer
 camara       | deputados                     | id                                | integer
 camara       | deputados                     | nome_civil                        | text
 camara       | deputados                     | cpf                               | character varying
 camara       | deputados                     | sexo                              | character
 camara       | deputados                     | data_nascimento                   | date
 camara       | deputados                     | data_falecimento                  | date
 camara       | deputados                     | uf_nascimento                     | character
 camara       | deputados                     | municipio_nascimento              | text
 camara       | deputados                     | escolaridade                      | text
 camara       | deputados                     | email                             | text
 camara       | deputados_despesas            | id                                | integer
 camara       | deputados_despesas            | ano                               | integer
 camara       | deputados_despesas            | mes                               | integer
 camara       | deputados_despesas            | tipo_despesa                      | text
 camara       | deputados_despesas            | cod_documento                     | bigint
 camara       | deputados_despesas            | tipo_documento                    | text
 camara       | deputados_despesas            | cod_tipo_documento                | integer
 camara       | deputados_despesas            | data_documento                    | date
 camara       | deputados_despesas            | num_documento                     | text
 camara       | deputados_despesas            | valor_documento                   | numeric
 camara       | deputados_despesas            | url_documento                     | text
 camara       | deputados_despesas            | nome_fornecedor                   | text
 camara       | deputados_despesas            | cnpj_cpf_fornecedor               | character varying
 camara       | deputados_despesas            | valor_liquido                     | numeric
 camara       | deputados_despesas            | valor_glosa                       | numeric
 camara       | deputados_despesas            | num_ressarcimento                 | text
 camara       | deputados_despesas            | cod_lote                          | integer
 camara       | deputados_despesas            | parcela                           | integer
 camara       | deputados_despesas            | mandato_id                        | character varying
 camara       | deputados_despesas            | created_at                        | timestamp without time zone
 camara       | deputados_gabinetes           | id                                | character varying
 camara       | deputados_gabinetes           | mandato_id                        | character varying
 camara       | deputados_gabinetes           | nome                              | text
 camara       | deputados_gabinetes           | predio                            | text
